Phage ,Treatment,Competitor,Temp,Time,Rep,Batch,DNA_conc,Fold_change_DNAconc_to_zero,Rel_DNA_to_singlephage,,,P,L,14
PEV2,3P,3P,42,5,4,2,0.059612869,1.163646993,0.98768727,,,,,
PEV2,3P,3P,42,5,5,3,0.171780669,3.353169581,2.846123377,,,,,
PEV2,3P,3P,42,5,6,3,0.13205164,2.577656409,2.187878658,,,,,
PEV2,P,No_competitor,37,0,0,1,0.043128072,0.841862708,,,,,,
PEV2,P,No_competitor,37,0,0,2,0.046652266,0.910655198,,,,,,
PEV2,P,No_competitor,37,0,0,3,0.080139414,1.564326457,,,,,,
PEV2,P,No_competitor,40,0,0,1,0.043128072,0.841862708,,,,,,
PEV2,P,No_competitor,40,0,0,2,0.046652266,0.910655198,,,,,,
PEV2,P,No_competitor,40,0,0,3,0.080139414,1.564326457,,,,,,
PEV2,P,No_competitor,42,0,0,1,0.043128072,0.841862708,,,,,,
PEV2,P,No_competitor,42,0,0,2,0.046652266,0.910655198,,,,,,
PEV2,P,No_competitor,42,0,0,3,0.080139414,1.564326457,,,,,,
PEV2,P,No_competitor,37,1,1,1,0.305793494,5.969108445,,,,,,
PEV2,P,No_competitor,37,1,2,1,0.389468456,7.602449024,,,,,,
PEV2,P,No_competitor,37,1,3,2,0.459810658,8.975533279,,,,,,
PEV2,P,No_competitor,37,1,4,2,0.38592558,7.533291859,,,,,,
PEV2,P,No_competitor,37,1,5,3,1.540254899,30.06587356,,,,,,
PEV2,P,No_competitor,37,1,6,3,1.396331178,27.25647337,,,,,,
PEV2,P,No_competitor,40,1,1,1,0.443781157,8.6626364,,,,,,
PEV2,P,No_competitor,40,1,2,1,0.333942985,6.518588299,,,,,,
PEV2,P,No_competitor,40,1,3,2,0.294139419,5.74162016,,,,,,
PEV2,P,No_competitor,40,1,4,2,0.325927779,6.362130969,,,,,,
PEV2,P,No_competitor,40,1,5,3,0.297612833,5.809421422,,,,,,
PEV2,P,No_competitor,40,1,6,3,1.153432096,22.51506785,,,,,,
PEV2,P,No_competitor,42,1,1,1,0.070607805,1.378268843,,,,,,
PEV2,P,No_competitor,42,1,2,1,0.069161198,1.350030982,,,,,,
PEV2,P,No_competitor,42,1,3,2,0.139009487,2.713474024,,,,,,
PEV2,P,No_competitor,42,1,4,2,0.134878104,2.632829166,,,,,,
PEV2,P,No_competitor,42,1,5,3,0.060916215,1.18908839,,,,,,
PEV2,P,No_competitor,42,1,6,3,0.049342977,0.963178048,,,,,,
PEV2,P,No_competitor,37,2,1,1,8.42425746,164.4420412,,,,,,
PEV2,P,No_competitor,37,2,2,1,12.69271826,247.7626674,,,,,,
PEV2,P,No_competitor,37,2,3,2,11.58227257,226.086697,,,,,,
PEV2,P,No_competitor,37,2,4,2,9.03957186,176.4530174,,,,,,
PEV2,P,No_competitor,37,2,5,3,7.733639787,150.9611403,,,,,,
PEV2,P,No_competitor,37,2,6,3,9.727722557,189.8857628,,,,,,
PEV2,P,No_competitor,40,2,1,1,5.729594521,111.8420493,,,,,,
PEV2,P,No_competitor,40,2,2,1,8.757983746,170.9563996,,,,,,
PEV2,P,No_competitor,40,2,3,2,9.341405415,182.3448276,,,,,,
PEV2,P,No_competitor,40,2,4,2,9.371778,182.9377024,,,,,,
PEV2,P,No_competitor,40,2,5,3,9.543243664,186.2847231,,,,,,
PEV2,P,No_competitor,40,2,6,3,7.697939076,150.2642602,,,,,,
PEV2,P,No_competitor,42,2,1,1,0.062527041,1.220531816,,,,,,
PEV2,P,No_competitor,42,2,2,1,0.052202766,1.019001311,,,,,,
PEV2,P,No_competitor,42,2,3,2,0.101281724,1.977025692,,,,,,
PEV2,P,No_competitor,42,2,4,2,0.098785923,1.928307498,,,,,,
PEV2,P,No_competitor,42,2,5,3,0.060175925,1.174637882,,,,,,
PEV2,P,No_competitor,42,2,6,3,0.042140238,0.822580125,,,,,,
